kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_impact,koi_duration,koi_depth,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_prad_log
2708286,K04071.01,,FALSE POSITIVE,6.4,1.89131005,1.035,5.687,155.6,1590.0,1507.16,18.7,5706.0,4.255,1.12,290.31827,37.91098,15.157,2.0014800002101243
6755944,K04072.01,Kepler-1547 b,CONFIRMED,2.24,0.692978457,0.938,1.1366,61.0,3186.0,24240.83,20.9,6105.0,3.805,2.304,283.76407,42.222172,13.447,1.1755733298042381
10419797,K04073.01,,FALSE POSITIVE,,87.140633,,18.11,,,11.37,,,,,297.25598,47.550491,15.149,
6515335,K04074.01,,FALSE POSITIVE,28.39,185.53285,1.2682,31.46,877.0,302.0,1.96,19.9,5817.0,4.544,0.87,289.61908,41.927189,15.692,3.380654480430826
7777471,K04075.01,,FALSE POSITIVE,0.9,0.885131111,0.715,3.377,93.2,1818.0,2579.83,23.4,5904.0,4.543,0.867,298.86102,43.417679,14.549,0.6418538861723948
10294509,K04143.01,,FALSE POSITIVE,1.33,1.85447373,0.514,2.665,306.8,1221.0,527.79,18.9,5341.0,4.609,0.743,298.71082,47.369911,15.699,0.8458682675776092
3112129,K04144.01,,CANDIDATE,0.99,0.487656278,0.037,1.0129,109.8,2299.0,6647.8,25.1,5957.0,4.506,0.937,290.33719,38.205009,14.374,0.688134638736401
3003019,K07642.01,,FALSE POSITIVE,1.41,0.502622858,0.693,3.085,146.0,2478.0,8838.66,41.1,6029.0,4.385,1.098,294.29196,38.138771,14.564,0.8796267475025635
9334893,K02298.02,Kepler-1178 b,CONFIRMED,0.63,31.8055128,0.476,3.979,141.7,378.0,4.84,10.9,4729.0,4.726,0.525,288.45605,45.80212,13.831,0.48858001481867097
3103212,K04145.01,,CANDIDATE,0.96,3.25424652,0.665,5.378,82.1,1220.0,521.81,18.3,5692.0,4.421,1.004,287.75903,38.281551,14.359,0.6729444732424258
10000941,K04146.01,Kepler-1558 b,CONFIRMED,0.8,3.50472344,0.309,1.9464,90.7,1019.0,254.49,18.4,5115.0,4.477,0.854,286.81937,46.91169,13.632,0.5877866649021191
9455677,K04076.01,Kepler-1548 b,CONFIRMED,2.57,124.827797,0.096,6.479,647.5,350.0,3.56,17.1,5349.0,4.353,1.032,287.47122,46.080662,15.259,1.2725655957915476
